name,url,status,notes,depends
1200wd,https://github.com/1200wd/bitcoinlib,wip,library,
AirBitz,https://airbitz.co/,ready,wallet,
AnycoinDirect,https://anycoindirect.eu,wip,broker,bitcoin core
Armory,https://github.com/goatpig/BitcoinArmory/tree/SegWit/,wip,wallet,bitcoin core
Authparty,http://authparty.io,planned,authentication library,bitcoin core
Bcoin,https://github.com/bcoin-org/bcoin,ready,library,
BetKing,https://betking.io,wip,gambling,bitcoin core
BFGMiner,http://bfgminer.com,ready,mining software,
Bitso,https://bitso.com,ready,exchange,bitcoin core
Bitclub,https://www.blocktrail.com/BTC/pool/bitclubnetwork,ready,mining pool,ckpool
Bitcoin Embassy,https://bitcoinembassy.ca,ready,community hub,bitcoin core
Bitcoin India,https://bitcoin-india.org/,ready,"exchange, pool",bitcoin core
Bitcoin Knots,https://bitcoinknots.org/,ready,"node, wallet",n/a
BitcoinJ,https://bitcoinj.github.io/,wip,library,n/a
bitcoin-lib,https://github.com/ACINQ/bitcoin-lib,ready,library,n/a
bitcoin-s,https://github.com/bitcoin-s/bitcoin-s-core,ready,library,
BitcoinReminder.com,https://bitcoinreminder.com,ready,service,
Bitcoinjs,http://bitcoinjs.org/,wip,library,n/a
bitcore-lib,https://bitcore.io/,wip,library,n/a
Bitfinex,https://www.bitfinex.com/,ready,exchange,
Bitfury,http://bitfury.com/,ready,mining pool,bitcoin core
BitGo<sup>1</sup>,https://www.bitgo.com/,wip,wallet,"bitcoinj, bitcoinjs"
Bither Wallet,https://bither.net/,planned,wallet,
BitKong,https://bitkong.com/,ready,gambling,NBitcoin
BitLox,https://www.bitlox.com/,wip,hardware wallet,
BitmainWarranty,https://bitmainwarranty.com/,ready,miner,
Bitonic,https://bitonic.com/,ready,"broker, exchange",
Bitrated,https://www.bitrated.com/,planned,wallet,
Bitrefill,https://www.bitrefill.com/,planned,merchant,
BitRocket,https://www.bitrocket.co,ready,ATM operator,
Bitstop,https://bitstop.co,ready,atm operator,bitcoin core
Bittylicious,https://bittylicious.com/,ready,exchange,
Bitwala,https://bitwala.io,wip,remittance,Bitgo
BitWasp,https://github.com/Bit-Wasp/bitcoin-php,ready,library,
Bity,https://bity.com,planned,broker,bitcoin core
Blockchain.info,https://blockchain.info/,ready,"wallet, block explorer",
Blockonomics,https://www.blockonomics.co/,wip,"bitcoin tracker, block explorer","bitcoin core"
Blocktrail,https://www.blocktrail.com/,planned,"wallet, block explorer",
BreadWallet,http://breadwallet.com/,wip,wallet,
BTC.com,https://btc.com/,wip,"block explorer, wallet",
BTCC,https://www.btcc.com/,ready,"exchange, pool, wallet",
btcd,https://github.com/btcsuite/btcd,wip,"full node",
btcpool,https://github.com/btccom/btcpool,ready,"pool software",
bustabit,https://www.bustabit.com,wip,gambling,bitcoin core
Bylls,https://bylls.com,wip,payment processor,bitcore
cgminer,https://github.com/ckolivas/cgminer,ready,mining software,
